CMDLINE python ./Medium_209/Medium_209_Human.py
MEM 1.980469 1745097150.0098
MEM 2.882812 1745097150.0171
MEM 3.402344 1745097150.0189
MEM 4.078125 1745097150.0206
MEM 5.585938 1745097150.0221
MEM 7.632812 1745097150.0237
MEM 8.957031 1745097150.0253
MEM 9.386719 1745097150.0268
MEM 9.632812 1745097150.0284
MEM 9.730469 1745097150.0299
MEM 10.046875 1745097150.0313
MEM 10.277344 1745097150.0329
MEM 10.562500 1745097150.0345
MEM 11.457031 1745097150.0361
MEM 11.773438 1745097150.0377
MEM 11.894531 1745097150.0395
MEM 12.031250 1745097150.0411
MEM 12.339844 1745097150.0428
MEM 12.500000 1745097150.0444
MEM 12.777344 1745097150.0460
MEM 13.042969 1745097150.0475
MEM 12.996094 1745097150.0491
MEM 12.027344 1745097150.0507
