CMDLINE python ./Medium_162/Medium_162_Gemini.py
MEM 1.980469 1745097148.0981
MEM 2.613281 1745097148.1061
MEM 3.421875 1745097148.1079
MEM 4.414062 1745097148.1097
MEM 6.980469 1745097148.1113
MEM 7.968750 1745097148.1126
MEM 9.117188 1745097148.1142
MEM 9.425781 1745097148.1154
MEM 9.617188 1745097148.1171
MEM 9.738281 1745097148.1187
MEM 10.160156 1745097148.1203
MEM 10.480469 1745097148.1220
MEM 10.910156 1745097148.1236
MEM 11.296875 1745097148.1250
MEM 11.394531 1745097148.1266
MEM 11.484375 1745097148.1282
MEM 11.781250 1745097148.1298
MEM 12.066406 1745097148.1314
MEM 12.164062 1745097148.1329
MEM 12.253906 1745097148.1340
MEM 12.550781 1745097148.1357
MEM 12.593750 1745097148.1372
MEM 11.949219 1745097148.1388
