CMDLINE python ./Medium_475/Medium_475_Gemini.py
MEM 1.980469 1745097154.2308
MEM 2.867188 1745097154.2411
MEM 3.457031 1745097154.2428
MEM 4.585938 1745097154.2445
MEM 6.964844 1745097154.2463
MEM 8.734375 1745097154.2481
MEM 9.417969 1745097154.2499
MEM 9.695312 1745097154.2516
MEM 10.148438 1745097154.2534
MEM 10.488281 1745097154.2551
MEM 11.136719 1745097154.2568
MEM 11.351562 1745097154.2584
MEM 11.519531 1745097154.2601
MEM 11.593750 1745097154.2616
MEM 11.960938 1745097154.2633
MEM 12.253906 1745097154.2651
MEM 12.503906 1745097154.2668
MEM 12.828125 1745097154.2685
MEM 12.359375 1745097154.2702
