CMDLINE python ./Easy_1539/Easy_1539_Gemini.py
MEM 2.035156 1745353268.2566
MEM 2.863281 1745353268.2641
MEM 4.238281 1745353268.2657
MEM 6.433594 1745353268.2673
MEM 7.871094 1745353268.2689
MEM 8.570312 1745353268.2705
MEM 8.898438 1745353268.2721
MEM 9.046875 1745353268.2737
MEM 9.191406 1745353268.2754
MEM 9.527344 1745353268.2770
MEM 9.734375 1745353268.2787
MEM 10.109375 1745353268.2803
MEM 10.425781 1745353268.2820
MEM 10.613281 1745353268.2837
MEM 10.750000 1745353268.2854
MEM 10.769531 1745353268.2871
MEM 10.945312 1745353268.2887
MEM 11.085938 1745353268.2904
MEM 11.367188 1745353268.2920
MEM 11.640625 1745353268.2936
MEM 11.796875 1745353268.2952
MEM 12.136719 1745353268.2968
MEM 12.035156 1745353268.2984
MEM 11.042969 1745353268.3001
