CMDLINE python ./Easy_1539/Easy_1539_Human.py
MEM 2.000000 1745353268.6702
MEM 3.144531 1745353268.6718
MEM 4.828125 1745353268.6735
MEM 6.828125 1745353268.6751
MEM 8.242188 1745353268.6768
MEM 8.769531 1745353268.6784
MEM 9.054688 1745353268.6799
MEM 9.468750 1745353268.6815
MEM 9.527344 1745353268.6832
MEM 9.527344 1745353268.6848
MEM 9.726562 1745353268.6864
MEM 10.121094 1745353268.6880
MEM 10.460938 1745353268.6896
MEM 10.746094 1745353268.6912
MEM 10.835938 1745353268.6927
MEM 11.109375 1745353268.6944
MEM 11.437500 1745353268.6960
MEM 11.625000 1745353268.6977
MEM 11.871094 1745353268.6990
MEM 11.906250 1745353268.7006
MEM 11.058594 1745353268.7021
