CMDLINE python ./Medium_532/Medium_532_Human.py
MEM 1.980469 1745097156.1770
MEM 2.531250 1745097156.1863
MEM 3.417969 1745097156.1880
MEM 4.070312 1745097156.1897
MEM 5.464844 1745097156.1913
MEM 7.375000 1745097156.1929
MEM 8.867188 1745097156.1946
MEM 9.421875 1745097156.1964
MEM 9.644531 1745097156.1979
MEM 9.820312 1745097156.1995
MEM 10.164062 1745097156.2011
MEM 10.375000 1745097156.2027
MEM 10.750000 1745097156.2044
MEM 10.992188 1745097156.2060
MEM 11.304688 1745097156.2076
MEM 11.414062 1745097156.2092
MEM 11.519531 1745097156.2109
MEM 11.742188 1745097156.2125
MEM 12.062500 1745097156.2141
MEM 12.156250 1745097156.2156
MEM 12.402344 1745097156.2172
MEM 12.585938 1745097156.2187
MEM 12.117188 1745097156.2203
