CMDLINE python ./Hard_154/Hard_154_Manual.py
MEM 1.960938 1744916253.3432
MEM 2.511719 1744916253.3448
MEM 3.507812 1744916253.3464
MEM 5.300781 1744916253.3480
MEM 7.234375 1744916253.3496
MEM 8.324219 1744916253.3513
MEM 8.828125 1744916253.3529
MEM 9.062500 1744916253.3545
MEM 9.500000 1744916253.3561
MEM 9.820312 1744916253.3576
MEM 10.335938 1744916253.3592
MEM 10.632812 1744916253.3607
MEM 10.773438 1744916253.3623
MEM 10.890625 1744916253.3639
MEM 11.187500 1744916253.3655
MEM 11.496094 1744916253.3671
MEM 11.714844 1744916253.3687
MEM 12.003906 1744916253.3703
MEM 12.035156 1744916253.3719
MEM 11.019531 1744916253.3734
