CMDLINE python ./Hard_154/Hard_154_Gemini.py
MEM 1.976562 1744916252.9741
MEM 2.753906 1744916252.9754
MEM 4.011719 1744916252.9770
MEM 6.394531 1744916252.9786
MEM 7.953125 1744916252.9802
MEM 8.695312 1744916252.9819
MEM 8.984375 1744916252.9835
MEM 9.269531 1744916252.9850
MEM 9.562500 1744916252.9866
MEM 10.082031 1744916252.9882
MEM 10.375000 1744916252.9898
MEM 10.687500 1744916252.9914
MEM 10.800781 1744916252.9930
MEM 11.109375 1744916252.9946
MEM 11.457031 1744916252.9962
MEM 11.667969 1744916252.9979
MEM 11.953125 1744916252.9994
MEM 11.968750 1744916253.0010
MEM 10.937500 1744916253.0026
