CMDLINE python ./Hard_862/Hard_862_Gemini.py
MEM 1.976562 1744916266.4929
MEM 2.753906 1744916266.4947
MEM 4.304688 1744916266.4963
MEM 6.500000 1744916266.4979
MEM 8.074219 1744916266.4995
MEM 8.750000 1744916266.5011
MEM 9.058594 1744916266.5026
MEM 9.378906 1744916266.5042
MEM 9.707031 1744916266.5057
MEM 10.425781 1744916266.5074
MEM 10.816406 1744916266.5090
MEM 11.128906 1744916266.5106
MEM 11.207031 1744916266.5121
MEM 11.460938 1744916266.5137
MEM 11.804688 1744916266.5153
MEM 12.011719 1744916266.5168
MEM 12.347656 1744916266.5184
MEM 12.363281 1744916266.5200
MEM 11.824219 1744916266.5215
