CMDLINE python ./Medium_275/Medium_275_Human.py
MEM 1.941406 1745097151.5749
MEM 2.457031 1745097151.5829
MEM 3.308594 1745097151.5845
MEM 4.062500 1745097151.5861
MEM 5.628906 1745097151.5877
MEM 7.761719 1745097151.5894
MEM 9.105469 1745097151.5911
MEM 9.507812 1745097151.5928
MEM 9.714844 1745097151.5944
MEM 10.054688 1745097151.5960
MEM 10.351562 1745097151.5976
MEM 11.238281 1745097151.5992
MEM 11.410156 1745097151.6009
MEM 11.714844 1745097151.6025
MEM 11.800781 1745097151.6041
MEM 12.089844 1745097151.6056
MEM 12.421875 1745097151.6073
MEM 12.492188 1745097151.6089
MEM 12.750000 1745097151.6105
MEM 13.089844 1745097151.6121
MEM 13.011719 1745097151.6136
MEM 12.058594 1745097151.6152
