CMDLINE python ./Hard_493/Hard_493_Manual.py
MEM 1.972656 1744916260.8913
MEM 2.769531 1744916260.8927
MEM 4.265625 1744916260.8943
MEM 6.519531 1744916260.8960
MEM 8.125000 1744916260.8976
MEM 8.765625 1744916260.8992
MEM 9.050781 1744916260.9010
MEM 9.402344 1744916260.9027
MEM 9.695312 1744916260.9044
MEM 10.453125 1744916260.9060
MEM 10.980469 1744916260.9076
MEM 11.066406 1744916260.9091
MEM 11.179688 1744916260.9107
MEM 11.277344 1744916260.9123
MEM 11.523438 1744916260.9139
MEM 11.820312 1744916260.9154
MEM 12.121094 1744916260.9170
MEM 12.457031 1744916260.9186
MEM 12.398438 1744916260.9204
MEM 11.519531 1744916260.9220
