CMDLINE python ./Hard_493/Hard_493_Gemini.py
MEM 1.976562 1744916260.5103
MEM 2.625000 1744916260.5116
MEM 3.964844 1744916260.5132
MEM 6.339844 1744916260.5148
MEM 7.796875 1744916260.5164
MEM 8.675781 1744916260.5180
MEM 8.949219 1744916260.5197
MEM 9.132812 1744916260.5214
MEM 9.527344 1744916260.5230
MEM 9.843750 1744916260.5246
MEM 10.582031 1744916260.5263
MEM 10.917969 1744916260.5278
MEM 11.039062 1744916260.5295
MEM 11.203125 1744916260.5311
MEM 11.445312 1744916260.5326
MEM 11.734375 1744916260.5343
MEM 11.992188 1744916260.5359
MEM 12.234375 1744916260.5375
MEM 12.441406 1744916260.5386
MEM 12.464844 1744916260.5397
MEM 12.335938 1744916260.5413
MEM 11.316406 1744916260.5429
