CMDLINE python ./Easy_744/Easy_744_Gemini.py
MEM 1.980469 1745353276.6508
MEM 2.500000 1745353276.6534
MEM 3.574219 1745353276.6552
MEM 5.835938 1745353276.6568
MEM 7.574219 1745353276.6585
MEM 8.582031 1745353276.6602
MEM 8.972656 1745353276.6617
MEM 9.152344 1745353276.6633
MEM 9.523438 1745353276.6650
MEM 9.839844 1745353276.6666
MEM 10.125000 1745353276.6679
MEM 10.621094 1745353276.6695
MEM 10.757812 1745353276.6711
MEM 10.910156 1745353276.6727
MEM 11.109375 1745353276.6743
MEM 11.417969 1745353276.6759
MEM 11.683594 1745353276.6776
MEM 12.031250 1745353276.6792
MEM 11.792969 1745353276.6808
