CMDLINE python ./Hard_354/Hard_354_Manual.py
MEM 1.968750 1744916256.3780
MEM 2.523438 1744916256.3795
MEM 3.957031 1744916256.3811
MEM 6.394531 1744916256.3827
MEM 7.929688 1744916256.3843
MEM 8.710938 1744916256.3860
MEM 9.046875 1744916256.3877
MEM 9.398438 1744916256.3892
MEM 9.726562 1744916256.3909
MEM 10.656250 1744916256.3925
MEM 11.363281 1744916256.3942
MEM 11.617188 1744916256.3957
MEM 11.800781 1744916256.3970
MEM 11.890625 1744916256.3985
MEM 12.054688 1744916256.4001
MEM 12.339844 1744916256.4018
MEM 12.609375 1744916256.4034
MEM 12.906250 1744916256.4050
MEM 12.476562 1744916256.4066
MEM 11.847656 1744916256.4082
