CMDLINE python ./Hard_668/Hard_668_Gemini.py
MEM 2.031250 1744916262.0008
MEM 2.812500 1744916262.0021
MEM 4.464844 1744916262.0037
MEM 6.539062 1744916262.0054
MEM 7.601562 1744916262.0070
MEM 8.238281 1744916262.0087
MEM 8.765625 1744916262.0103
MEM 9.023438 1744916262.0119
MEM 9.218750 1744916262.0135
MEM 9.527344 1744916262.0151
MEM 9.730469 1744916262.0162
MEM 10.085938 1744916262.0178
MEM 10.101562 1744916262.0194
MEM 10.101562 1744916262.0210
MEM 10.101562 1744916262.0225
MEM 9.945312 1744916262.0242
