CMDLINE python ./Easy_888/Easy_888_Gemini.py
MEM 1.980469 1745353278.4564
MEM 2.691406 1745353278.4615
MEM 4.347656 1745353278.4631
MEM 6.503906 1745353278.4649
MEM 7.703125 1745353278.4663
MEM 8.664062 1745353278.4679
MEM 8.972656 1745353278.4696
MEM 9.226562 1745353278.4712
MEM 9.539062 1745353278.4728
MEM 10.058594 1745353278.4744
MEM 10.460938 1745353278.4760
MEM 10.847656 1745353278.4775
MEM 10.988281 1745353278.4791
MEM 11.210938 1745353278.4807
MEM 11.519531 1745353278.4823
MEM 11.773438 1745353278.4839
MEM 12.046875 1745353278.4855
MEM 12.078125 1745353278.4871
MEM 11.152344 1745353278.4887
