CMDLINE python ./Easy_888/Easy_888_Human.py
MEM 1.980469 1745353278.8620
MEM 2.675781 1745353278.8673
MEM 3.917969 1745353278.8690
MEM 6.285156 1745353278.8706
MEM 7.800781 1745353278.8723
MEM 8.664062 1745353278.8739
MEM 8.972656 1745353278.8755
MEM 9.160156 1745353278.8771
MEM 9.527344 1745353278.8787
MEM 9.847656 1745353278.8802
MEM 10.500000 1745353278.8818
MEM 10.710938 1745353278.8834
MEM 10.839844 1745353278.8846
MEM 10.933594 1745353278.8859
MEM 11.152344 1745353278.8871
MEM 11.468750 1745353278.8888
MEM 11.796875 1745353278.8904
MEM 12.031250 1745353278.8921
MEM 12.246094 1745353278.8937
MEM 11.566406 1745353278.8953
