CMDLINE python ./Medium_81/Medium_81_Human.py
MEM 1.988281 1745097160.8278
MEM 2.808594 1745097160.8295
MEM 3.414062 1745097160.8311
MEM 4.066406 1745097160.8327
MEM 6.382812 1745097160.8343
MEM 8.187500 1745097160.8359
MEM 9.234375 1745097160.8376
MEM 9.632812 1745097160.8391
MEM 9.730469 1745097160.8403
MEM 10.171875 1745097160.8420
MEM 10.488281 1745097160.8436
MEM 11.000000 1745097160.8452
MEM 11.355469 1745097160.8467
MEM 11.480469 1745097160.8484
MEM 11.656250 1745097160.8500
MEM 11.910156 1745097160.8516
MEM 12.171875 1745097160.8531
MEM 12.468750 1745097160.8547
MEM 12.839844 1745097160.8565
MEM 12.750000 1745097160.8581
