CMDLINE python ./Medium_275/Medium_275_Gemini.py
MEM 1.980469 1745097151.1993
MEM 2.640625 1745097151.2011
MEM 3.417969 1745097151.2027
MEM 4.136719 1745097151.2044
MEM 6.496094 1745097151.2060
MEM 8.203125 1745097151.2075
MEM 9.253906 1745097151.2091
MEM 9.425781 1745097151.2108
MEM 9.617188 1745097151.2124
MEM 9.816406 1745097151.2140
MEM 10.183594 1745097151.2156
MEM 10.511719 1745097151.2173
MEM 11.308594 1745097151.2189
MEM 11.683594 1745097151.2205
MEM 11.765625 1745097151.2220
MEM 11.867188 1745097151.2236
MEM 12.167969 1745097151.2251
MEM 12.421875 1745097151.2268
MEM 12.496094 1745097151.2284
MEM 12.734375 1745097151.2301
MEM 12.980469 1745097151.2317
MEM 12.996094 1745097151.2334
MEM 12.371094 1745097151.2350
