CMDLINE python ./Medium_475/Medium_475_Human.py
MEM 1.980469 1745097154.6384
MEM 3.085938 1745097154.6402
MEM 3.710938 1745097154.6419
MEM 5.195312 1745097154.6435
MEM 7.117188 1745097154.6454
MEM 8.746094 1745097154.6470
MEM 9.410156 1745097154.6486
MEM 9.695312 1745097154.6502
MEM 10.050781 1745097154.6518
MEM 10.363281 1745097154.6534
MEM 10.917969 1745097154.6551
MEM 11.382812 1745097154.6567
MEM 11.507812 1745097154.6583
MEM 11.707031 1745097154.6599
MEM 11.898438 1745097154.6615
MEM 12.179688 1745097154.6633
MEM 12.406250 1745097154.6648
MEM 12.742188 1745097154.6664
MEM 12.179688 1745097154.6681
