CMDLINE python ./Easy_1346/Easy_1346_Human.py
MEM 1.980469 1745353263.4520
MEM 2.500000 1745353263.4625
MEM 3.597656 1745353263.4640
MEM 5.976562 1745353263.4657
MEM 7.707031 1745353263.4674
MEM 8.640625 1745353263.4691
MEM 8.976562 1745353263.4707
MEM 9.195312 1745353263.4723
MEM 9.531250 1745353263.4740
MEM 9.847656 1745353263.4756
MEM 10.437500 1745353263.4772
MEM 10.625000 1745353263.4788
MEM 10.753906 1745353263.4804
MEM 10.937500 1745353263.4820
MEM 11.281250 1745353263.4836
MEM 11.414062 1745353263.4849
MEM 11.746094 1745353263.4865
MEM 12.007812 1745353263.4881
MEM 12.019531 1745353263.4897
MEM 11.042969 1745353263.4913
