CMDLINE python ./Easy_349/Easy_349_Gemini.py
MEM 1.980469 1745353269.9167
MEM 2.453125 1745353269.9287
MEM 3.542969 1745353269.9304
MEM 6.027344 1745353269.9320
MEM 7.281250 1745353269.9337
MEM 8.445312 1745353269.9353
MEM 8.890625 1745353269.9370
MEM 9.054688 1745353269.9385
MEM 9.363281 1745353269.9402
MEM 9.695312 1745353269.9418
MEM 10.082031 1745353269.9433
MEM 10.460938 1745353269.9449
MEM 10.757812 1745353269.9464
MEM 10.941406 1745353269.9480
MEM 11.164062 1745353269.9494
MEM 11.480469 1745353269.9511
MEM 11.542969 1745353269.9527
MEM 11.757812 1745353269.9542
MEM 12.035156 1745353269.9558
MEM 12.031250 1745353269.9574
MEM 11.089844 1745353269.9590
