CMDLINE python ./Easy_349/Easy_349_ChatGPT.py
MEM 1.980469 1745353269.1108
MEM 2.570312 1745353269.1177
MEM 3.652344 1745353269.1194
MEM 6.023438 1745353269.1210
MEM 7.660156 1745353269.1227
MEM 8.648438 1745353269.1243
MEM 8.988281 1745353269.1259
MEM 9.160156 1745353269.1277
MEM 9.531250 1745353269.1293
MEM 9.863281 1745353269.1309
MEM 10.523438 1745353269.1326
MEM 10.742188 1745353269.1342
MEM 10.839844 1745353269.1357
MEM 11.160156 1745353269.1373
MEM 11.476562 1745353269.1389
MEM 11.636719 1745353269.1406
MEM 11.925781 1745353269.1422
MEM 11.949219 1745353269.1434
MEM 11.242188 1745353269.1452
