CMDLINE python ./Easy_349/Easy_349_Human.py
MEM 1.980469 1745353270.3455
MEM 2.816406 1745353270.3518
MEM 4.078125 1745353270.3535
MEM 6.496094 1745353270.3552
MEM 8.097656 1745353270.3569
MEM 8.742188 1745353270.3585
MEM 9.046875 1745353270.3601
MEM 9.414062 1745353270.3617
MEM 9.707031 1745353270.3635
MEM 10.125000 1745353270.3651
MEM 10.339844 1745353270.3663
MEM 10.730469 1745353270.3679
MEM 10.804688 1745353270.3695
MEM 11.046875 1745353270.3711
MEM 11.382812 1745353270.3726
MEM 11.554688 1745353270.3742
MEM 11.875000 1745353270.3758
MEM 12.046875 1745353270.3774
MEM 11.281250 1745353270.3791
