CMDLINE python ./Easy_350/Easy_350_Human.py
MEM 1.980469 1745353272.0122
MEM 2.527344 1745353272.0213
MEM 3.781250 1745353272.0229
MEM 6.210938 1745353272.0245
MEM 7.742188 1745353272.0261
MEM 8.683594 1745353272.0277
MEM 9.015625 1745353272.0294
MEM 9.351562 1745353272.0311
MEM 9.710938 1745353272.0328
MEM 10.289062 1745353272.0345
MEM 10.695312 1745353272.0362
MEM 10.832031 1745353272.0378
MEM 10.988281 1745353272.0394
MEM 11.363281 1745353272.0410
MEM 11.554688 1745353272.0426
MEM 11.832031 1745353272.0441
MEM 12.160156 1745353272.0458
MEM 11.574219 1745353272.0475
