CMDLINE python ./Easy_350/Easy_350_Gemini.py
MEM 1.980469 1745353271.6064
MEM 2.453125 1745353271.6111
MEM 3.828125 1745353271.6126
MEM 6.199219 1745353271.6143
MEM 7.750000 1745353271.6159
MEM 8.449219 1745353271.6173
MEM 8.914062 1745353271.6189
MEM 9.062500 1745353271.6204
MEM 9.472656 1745353271.6220
MEM 9.738281 1745353271.6236
MEM 10.304688 1745353271.6251
MEM 10.675781 1745353271.6267
MEM 10.820312 1745353271.6282
MEM 10.945312 1745353271.6298
MEM 11.265625 1745353271.6314
MEM 11.578125 1745353271.6331
MEM 11.714844 1745353271.6347
MEM 11.949219 1745353271.6363
MEM 12.066406 1745353271.6378
MEM 11.312500 1745353271.6394
