CMDLINE python ./Medium_611/Medium_611_Human.py
MEM 1.980469 1745097157.7547
MEM 2.585938 1745097157.7589
MEM 3.363281 1745097157.7605
MEM 4.078125 1745097157.7621
MEM 5.804688 1745097157.7638
MEM 7.812500 1745097157.7653
MEM 9.085938 1745097157.7669
MEM 9.550781 1745097157.7684
MEM 9.742188 1745097157.7701
MEM 10.171875 1745097157.7716
MEM 10.410156 1745097157.7732
MEM 10.925781 1745097157.7747
MEM 11.125000 1745097157.7763
MEM 11.464844 1745097157.7779
MEM 11.550781 1745097157.7795
MEM 11.812500 1745097157.7811
MEM 12.160156 1745097157.7828
MEM 12.300781 1745097157.7844
MEM 12.503906 1745097157.7860
MEM 12.820312 1745097157.7876
MEM 12.726562 1745097157.7892
MEM 11.835938 1745097157.7909
