CMDLINE python ./Hard_778/Hard_778_Gemini.py
MEM 1.937500 1744916263.5446
MEM 2.449219 1744916263.5463
MEM 3.515625 1744916263.5479
MEM 5.429688 1744916263.5496
MEM 7.191406 1744916263.5512
MEM 8.414062 1744916263.5528
MEM 8.875000 1744916263.5544
MEM 9.062500 1744916263.5559
MEM 9.464844 1744916263.5574
MEM 9.726562 1744916263.5590
MEM 10.605469 1744916263.5606
MEM 10.726562 1744916263.5623
MEM 10.984375 1744916263.5639
MEM 11.109375 1744916263.5655
MEM 11.222656 1744916263.5671
MEM 11.433594 1744916263.5687
MEM 11.765625 1744916263.5702
MEM 11.875000 1744916263.5718
MEM 12.078125 1744916263.5734
MEM 12.414062 1744916263.5750
MEM 12.320312 1744916263.5767
MEM 11.429688 1744916263.5784
