CMDLINE python ./Medium_400/Medium_400_Human.py
MEM 1.976562 1745097153.0976
MEM 2.523438 1745097153.0993
MEM 3.414062 1745097153.1010
MEM 4.062500 1745097153.1027
MEM 6.585938 1745097153.1044
MEM 8.332031 1745097153.1060
MEM 9.316406 1745097153.1077
MEM 9.605469 1745097153.1093
MEM 9.804688 1745097153.1110
MEM 10.167969 1745097153.1126
MEM 10.496094 1745097153.1144
MEM 10.414062 1745097153.1160
