CMDLINE python ./Medium_400/Medium_400_Claude.py
MEM 1.980469 1745097152.3627
MEM 2.636719 1745097152.3680
MEM 3.414062 1745097152.3697
MEM 4.226562 1745097152.3714
MEM 6.675781 1745097152.3730
MEM 8.359375 1745097152.3747
MEM 9.328125 1745097152.3764
MEM 9.605469 1745097152.3780
MEM 9.691406 1745097152.3797
MEM 10.039062 1745097152.3813
MEM 10.359375 1745097152.3830
MEM 10.644531 1745097152.3847
