CMDLINE python ./Medium_81/Medium_81_ChatGPT.py
MEM 1.980469 1745097159.7041
MEM 2.726562 1745097159.7074
MEM 3.417969 1745097159.7091
MEM 4.183594 1745097159.7108
MEM 6.496094 1745097159.7125
MEM 8.160156 1745097159.7141
MEM 9.218750 1745097159.7157
MEM 9.613281 1745097159.7173
MEM 9.812500 1745097159.7189
MEM 10.175781 1745097159.7205
MEM 10.500000 1745097159.7222
MEM 11.207031 1745097159.7239
MEM 11.382812 1745097159.7256
MEM 11.480469 1745097159.7272
MEM 11.605469 1745097159.7289
MEM 11.835938 1745097159.7305
MEM 12.117188 1745097159.7321
MEM 12.324219 1745097159.7336
MEM 12.648438 1745097159.7352
MEM 12.660156 1745097159.7368
MEM 11.718750 1745097159.7386
