CMDLINE python ./Medium_81/Medium_81_Claude.py
MEM 1.980469 1745097160.0802
MEM 2.816406 1745097160.0846
MEM 3.414062 1745097160.0862
MEM 4.070312 1745097160.0876
MEM 5.433594 1745097160.0892
MEM 7.140625 1745097160.0906
MEM 8.765625 1745097160.0922
MEM 9.429688 1745097160.0938
MEM 9.699219 1745097160.0953
MEM 10.031250 1745097160.0969
MEM 10.378906 1745097160.0985
MEM 10.871094 1745097160.1001
MEM 11.101562 1745097160.1018
MEM 11.441406 1745097160.1034
MEM 11.507812 1745097160.1047
MEM 11.699219 1745097160.1063
MEM 11.898438 1745097160.1079
MEM 12.164062 1745097160.1093
MEM 12.289062 1745097160.1109
MEM 12.429688 1745097160.1125
MEM 12.789062 1745097160.1141
MEM 12.171875 1745097160.1157
