CMDLINE python ./Medium_153/Medium_153_Gemini.py
MEM 1.996094 1745097146.5254
MEM 2.878906 1745097146.5289
MEM 3.359375 1745097146.5303
MEM 4.062500 1745097146.5320
MEM 5.617188 1745097146.5336
MEM 7.738281 1745097146.5352
MEM 9.054688 1745097146.5369
MEM 9.550781 1745097146.5384
MEM 9.726562 1745097146.5400
MEM 10.152344 1745097146.5416
MEM 10.378906 1745097146.5432
MEM 11.402344 1745097146.5448
MEM 11.652344 1745097146.5464
MEM 11.734375 1745097146.5480
MEM 11.812500 1745097146.5497
MEM 11.886719 1745097146.5513
MEM 12.160156 1745097146.5529
MEM 12.320312 1745097146.5545
MEM 12.574219 1745097146.5562
MEM 12.660156 1745097146.5578
MEM 12.820312 1745097146.5595
MEM 12.890625 1745097146.5609
MEM 13.167969 1745097146.5625
MEM 13.093750 1745097146.5642
MEM 12.093750 1745097146.5659
