CMDLINE python ./Medium_153/Medium_153_ChatGPT.py
MEM 2.035156 1745097145.7484
MEM 2.453125 1745097145.7530
MEM 3.328125 1745097145.7547
MEM 4.070312 1745097145.7563
MEM 5.429688 1745097145.7578
MEM 7.242188 1745097145.7594
MEM 8.867188 1745097145.7610
MEM 9.425781 1745097145.7625
MEM 9.695312 1745097145.7642
MEM 10.019531 1745097145.7658
MEM 10.359375 1745097145.7674
MEM 11.058594 1745097145.7690
MEM 11.656250 1745097145.7706
MEM 11.738281 1745097145.7722
MEM 11.812500 1745097145.7739
MEM 11.875000 1745097145.7755
MEM 11.988281 1745097145.7771
MEM 12.382812 1745097145.7788
MEM 12.460938 1745097145.7803
MEM 12.742188 1745097145.7819
MEM 13.046875 1745097145.7834
MEM 13.007812 1745097145.7850
MEM 12.066406 1745097145.7867
