CMDLINE python ./Easy_367/Easy_367_ChatGPT.py
MEM 1.980469 1745353272.4253
MEM 2.453125 1745353272.4369
MEM 3.273438 1745353272.4386
MEM 4.816406 1745353272.4403
MEM 6.273438 1745353272.4415
MEM 7.855469 1745353272.4431
MEM 8.683594 1745353272.4448
MEM 8.972656 1745353272.4465
MEM 9.148438 1745353272.4481
MEM 9.523438 1745353272.4497
MEM 9.824219 1745353272.4514
MEM 10.003906 1745353272.4530
