CMDLINE python ./Easy_1351/Easy_1351_Gemini.py
MEM 2.019531 1745353264.7143
MEM 2.472656 1745353264.7186
MEM 3.593750 1745353264.7202
MEM 5.609375 1745353264.7219
MEM 7.441406 1745353264.7235
MEM 8.445312 1745353264.7251
MEM 8.835938 1745353264.7267
MEM 9.046875 1745353264.7282
MEM 9.304688 1745353264.7298
MEM 9.535156 1745353264.7314
MEM 9.886719 1745353264.7330
MEM 10.664062 1745353264.7346
MEM 10.832031 1745353264.7363
MEM 11.015625 1745353264.7380
MEM 11.167969 1745353264.7397
MEM 11.406250 1745353264.7413
MEM 11.609375 1745353264.7430
MEM 11.875000 1745353264.7446
MEM 12.074219 1745353264.7462
MEM 12.328125 1745353264.7479
MEM 12.296875 1745353264.7495
MEM 11.554688 1745353264.7511
