CMDLINE python ./Easy_1351/Easy_1351_ChatGPT.py
MEM 1.980469 1745353263.8884
MEM 2.628906 1745353263.8911
MEM 3.968750 1745353263.8927
MEM 5.554688 1745353263.8944
MEM 7.335938 1745353263.8960
MEM 8.257812 1745353263.8972
MEM 8.777344 1745353263.8988
MEM 9.066406 1745353263.9002
MEM 9.535156 1745353263.9030
MEM 9.859375 1745353263.9046
MEM 10.632812 1745353263.9062
MEM 10.996094 1745353263.9078
MEM 11.160156 1745353263.9094
MEM 11.246094 1745353263.9110
MEM 11.453125 1745353263.9126
MEM 11.742188 1745353263.9145
MEM 11.910156 1745353263.9161
MEM 12.167969 1745353263.9177
MEM 12.339844 1745353263.9193
MEM 11.687500 1745353263.9209
