CMDLINE python ./Easy_1351/Easy_1351_Human.py
MEM 1.980469 1745353265.1751
MEM 2.453125 1745353265.1876
MEM 3.175781 1745353265.1887
MEM 4.835938 1745353265.1904
MEM 6.683594 1745353265.1921
MEM 8.089844 1745353265.1938
MEM 8.582031 1745353265.1952
MEM 8.953125 1745353265.1968
MEM 9.058594 1745353265.1984
MEM 9.468750 1745353265.2000
MEM 9.718750 1745353265.2017
MEM 10.609375 1745353265.2034
MEM 10.726562 1745353265.2050
MEM 11.019531 1745353265.2067
MEM 11.117188 1745353265.2083
MEM 11.136719 1745353265.2098
MEM 11.203125 1745353265.2114
MEM 11.472656 1745353265.2130
MEM 11.847656 1745353265.2146
MEM 11.964844 1745353265.2162
MEM 12.152344 1745353265.2178
MEM 12.468750 1745353265.2195
MEM 12.230469 1745353265.2212
MEM 11.402344 1745353265.2228
