CMDLINE python ./Easy_1385/Easy_1385_Gemini.py
MEM 2.007812 1745353266.5216
MEM 2.453125 1745353266.5286
MEM 2.898438 1745353266.5304
MEM 4.011719 1745353266.5320
MEM 4.828125 1745353266.5335
MEM 6.375000 1745353266.5346
MEM 7.792969 1745353266.5363
MEM 8.324219 1745353266.5379
MEM 8.636719 1745353266.5396
MEM 8.785156 1745353266.5413
MEM 8.972656 1745353266.5430
MEM 9.050781 1745353266.5447
MEM 9.058594 1745353266.5461
MEM 9.207031 1745353266.5475
MEM 9.312500 1745353266.5490
MEM 9.523438 1745353266.5506
MEM 9.718750 1745353266.5522
MEM 9.839844 1745353266.5536
MEM 10.292969 1745353266.5559
MEM 10.429688 1745353266.5573
MEM 10.453125 1745353266.5590
MEM 10.527344 1745353266.5603
MEM 10.714844 1745353266.5620
MEM 10.781250 1745353266.5638
MEM 10.855469 1745353266.5654
MEM 11.046875 1745353266.5669
MEM 11.246094 1745353266.5686
MEM 11.507812 1745353266.5702
MEM 11.648438 1745353266.5719
MEM 11.773438 1745353266.5735
MEM 11.839844 1745353266.5752
MEM 12.160156 1745353266.5768
MEM 11.949219 1745353266.5784
MEM 11.027344 1745353266.5799
