CMDLINE python ./Easy_1385/Easy_1385_Human.py
MEM 2.019531 1745353266.9873
MEM 2.769531 1745353266.9981
MEM 4.304688 1745353266.9998
MEM 6.492188 1745353267.0014
MEM 8.035156 1745353267.0030
MEM 8.718750 1745353267.0048
MEM 8.992188 1745353267.0064
MEM 9.179688 1745353267.0080
MEM 9.535156 1745353267.0096
MEM 9.851562 1745353267.0113
MEM 10.472656 1745353267.0129
MEM 10.765625 1745353267.0146
MEM 10.894531 1745353267.0162
MEM 11.054688 1745353267.0177
MEM 11.425781 1745353267.0193
MEM 11.582031 1745353267.0209
MEM 11.882812 1745353267.0225
MEM 12.195312 1745353267.0242
MEM 12.117188 1745353267.0258
MEM 11.156250 1745353267.0276
