CMDLINE python ./Hard_410/Hard_410_Gemini.py
MEM 2.031250 1744916259.0129
MEM 2.789062 1744916259.0145
MEM 4.113281 1744916259.0162
MEM 6.484375 1744916259.0178
MEM 8.121094 1744916259.0195
MEM 8.761719 1744916259.0212
MEM 9.050781 1744916259.0229
MEM 9.472656 1744916259.0246
MEM 9.777344 1744916259.0262
MEM 10.292969 1744916259.0278
MEM 10.675781 1744916259.0295
MEM 10.804688 1744916259.0310
MEM 10.976562 1744916259.0327
MEM 11.398438 1744916259.0344
MEM 11.589844 1744916259.0361
MEM 11.949219 1744916259.0378
MEM 12.050781 1744916259.0395
MEM 11.332031 1744916259.0411
