CMDLINE python ./Hard_354/Hard_354_Gemini.py
MEM 1.925781 1744916255.9954
MEM 2.429688 1744916255.9969
MEM 3.402344 1744916255.9985
MEM 5.257812 1744916256.0001
MEM 7.175781 1744916256.0017
MEM 8.375000 1744916256.0033
MEM 8.906250 1744916256.0049
MEM 9.054688 1744916256.0066
MEM 9.285156 1744916256.0082
MEM 9.511719 1744916256.0099
MEM 9.878906 1744916256.0114
MEM 11.386719 1744916256.0131
MEM 11.492188 1744916256.0148
MEM 11.800781 1744916256.0163
MEM 11.898438 1744916256.0179
MEM 11.941406 1744916256.0197
MEM 12.078125 1744916256.0213
MEM 12.371094 1744916256.0229
MEM 12.488281 1744916256.0245
MEM 12.625000 1744916256.0261
MEM 12.917969 1744916256.0277
MEM 12.777344 1744916256.0293
MEM 11.882812 1744916256.0310
