CMDLINE python ./Hard_4/Hard_4_Manual.py
MEM 1.933594 1744916257.8664
MEM 2.449219 1744916257.8683
MEM 3.636719 1744916257.8699
MEM 6.191406 1744916257.8715
MEM 7.777344 1744916257.8731
MEM 8.699219 1744916257.8747
MEM 9.019531 1744916257.8763
MEM 9.171875 1744916257.8778
MEM 9.523438 1744916257.8794
MEM 10.015625 1744916257.8810
MEM 10.632812 1744916257.8827
MEM 10.785156 1744916257.8843
MEM 10.914062 1744916257.8859
MEM 11.128906 1744916257.8875
MEM 11.503906 1744916257.8890
MEM 11.648438 1744916257.8906
MEM 11.949219 1744916257.8922
MEM 12.113281 1744916257.8935
MEM 11.988281 1744916257.8951
