CMDLINE python ./Hard_4/Hard_4_Gemini.py
MEM 1.976562 1744916257.4961
MEM 2.886719 1744916257.4977
MEM 4.507812 1744916257.4994
MEM 6.542969 1744916257.5010
MEM 8.179688 1744916257.5026
MEM 8.765625 1744916257.5042
MEM 9.062500 1744916257.5058
MEM 9.457031 1744916257.5074
MEM 9.730469 1744916257.5090
MEM 10.308594 1744916257.5106
MEM 10.648438 1744916257.5122
MEM 10.820312 1744916257.5138
MEM 10.925781 1744916257.5154
MEM 11.085938 1744916257.5170
MEM 11.503906 1744916257.5187
MEM 11.636719 1744916257.5203
MEM 11.871094 1744916257.5218
MEM 12.074219 1744916257.5234
MEM 11.554688 1744916257.5250
