CMDLINE python ./Medium_718/Medium_718_Human.py
MEM 1.949219 1745097159.3244
MEM 2.535156 1745097159.3270
MEM 3.417969 1745097159.3286
MEM 4.070312 1745097159.3303
MEM 6.351562 1745097159.3319
MEM 8.027344 1745097159.3335
MEM 9.183594 1745097159.3351
MEM 9.593750 1745097159.3368
MEM 9.867188 1745097159.3384
MEM 10.203125 1745097159.3400
MEM 10.492188 1745097159.3417
MEM 11.085938 1745097159.3432
MEM 11.363281 1745097159.3448
MEM 11.492188 1745097159.3464
MEM 11.687500 1745097159.3480
MEM 11.917969 1745097159.3497
MEM 12.195312 1745097159.3512
MEM 12.492188 1745097159.3528
MEM 12.839844 1745097159.3545
MEM 11.734375 1745097159.3561
