CMDLINE python ./Hard_315/Hard_315_Manual.py
MEM 1.976562 1744588822.5872
MEM 2.449219 1744588822.5890
MEM 3.207031 1744588822.5907
MEM 4.878906 1744588822.5923
MEM 6.910156 1744588822.5940
MEM 8.277344 1744588822.5956
MEM 8.765625 1744588822.5971
MEM 8.980469 1744588822.5988
MEM 9.074219 1744588822.6004
MEM 9.484375 1744588822.6020
MEM 9.722656 1744588822.6036
MEM 10.687500 1744588822.6052
MEM 10.984375 1744588822.6068
MEM 11.140625 1744588822.6083
MEM 11.265625 1744588822.6099
MEM 11.414062 1744588822.6114
MEM 11.867188 1744588822.6130
MEM 12.000000 1744588822.6146
MEM 12.230469 1744588822.6157
MEM 12.535156 1744588822.6173
MEM 12.484375 1744588822.6189
MEM 11.507812 1744588822.6206
